filename,expected_event_name,expected_event_date,date_location,expected_time,expected_venue,difficulty,notes
1000035677.jpg,Vintage Pop Up,9/5/2026,right side in pink bubble,5:00 PM,Red Derby,Easy,Large clear date and time with high contrast
1000035678.jpg,Street Fest Block Party,,left side in speech bubble,3:30 PM,Union Market District,Hard,No event date visible on this image; prominent 100.3 is radio station branding and could be mistaken for a numeric date
1000035679.jpg,Rowhaven Games Grand Opening,8/22/2026,center below DATE AND TIME,11:00 AM,Rowhaven Games,Easy,"Clean typography with full month name, ordinal day, and time"
1000035680.jpg,C3W All Night Show,9/12/2026,bottom center,,Howard Theatre,Medium,Date split across multiple lines with abbreviated month
1000035681.jpg,Father Sokka + T.A.T,8/27/2026,lower center,,Songbyrd Music House,Medium,Date overlaid on photographic background
1000035682.jpg,Ask a D.C. Native Live! The People's Edition,8/24/2026,left-center below event title,7:00 PM,MLK Library,Easy,"Full weekday, month, day, and year in high-contrast text"
1000035686.jpg,Night of the Witch: A Villain's Ball,9/19/2026,bottom center,10:00 PM,Transmission DC,Medium,Decorative typography but date is large and isolated
1000035687.jpg,DC WitchFest,10/10/2026,lower center,,"Columbia Heights, DC",Medium,Numeric date uses periods in MM.DD.YY format
1000035706.jpg,Duel / Grudge / DMV / Mortal Ground / Green Forest,8/29/2026,bottom left,8:00 PM,Simple Underground,Medium,Small condensed date text near bottom edge of high-contrast punk flyer
1000035707.jpg,Club Oscuro Goth Burlesque Edition,8/21/2026,upper-right portion of flyer,10:00 PM,Sinners & Saints,Medium,Date and time are relatively small and surrounded by decorative text
